osmid,latitude,longitude
42429664,40.744646,-74.006385
42429666,40.7453865,-74.0081247
42429680,40.771147,-73.967994
42429682,40.7704757,-73.9663887
42429685,40.769761,-73.9646697
42429688,40.7691229,-73.9631538
42429690,40.7684519,-73.9615495
42429693,40.7675129,-73.9593042
42429694,40.7664987,-73.9569389
42429700,40.7317982,-74.0011515
42429701,40.7311376,-74.0029381
42429703,40.8703989,-73.9121747
42429704,40.8711588,-73.9139795
42429705,40.871603,-73.915056
42429707,40.872116,-73.916278
42429708,40.872499,-73.917176
42429709,40.873022,-73.918459
42429727,40.8045555,-73.947737
42429735,40.806709,-73.952857
42429741,40.806981,-73.9535
42429744,40.8075923,-73.9549589
42429747,40.808177,-73.9563487
42429752,40.720336,-73.9940925
42429754,40.7199073,-73.9929178
42429756,40.7198216,-73.9921032
42429762,40.7191047,-73.9902756
42429766,40.7191021,-73.989732
42429769,40.718874,-73.9889804
42429773,40.7186264,-73.9881645
42429782,40.7183868,-73.9873747
42429806,40.717431,-73.9839974
42429809,40.716976,-73.982289
42429811,40.716718,-73.981438
42429812,40.716454,-73.9805736
42429814,40.715957,-73.9789246
42429819,40.7156979,-73.9780769
42429825,40.8110184,-73.9542665
42429829,40.7163029,-74.0061645
42429830,40.7165394,-74.0066823
42429832,40.7171217,-74.0079572
42429833,40.717598,-74.009
42429838,40.707694,-74.010201
42429840,40.706953,-74.008996
42429842,40.7060628,-74.0074544
42429844,40.705624,-74.006766
42429874,40.743451,-73.988194
42429876,40.7427711,-73.9865977
42429888,40.7420643,-73.9849234
42429890,40.7414058,-73.9833636
42429896,40.7407284,-73.981759
42429900,40.7397942,-73.9795317
42429910,40.7392313,-73.9781935
42429918,40.738796,-73.977148
42429946,40.8709698,-73.9192622
42429960,40.868889,-73.915681
42429970,40.766767,-73.971189
42429971,40.7660912,-73.9695848
42429974,40.7653743,-73.9678596
42429976,40.7647323,-73.9663588
42429980,40.764057,-73.9647558
42429981,40.763113,-73.962515
42429986,40.7621165,-73.9601308
42429999,40.7754225,-73.9839656
42430004,40.7132584,-74.0092662
42430007,40.7138543,-74.0105666
42430009,40.714294,-74.011527
42430022,40.8471723,-73.9407716
42430023,40.847387,-73.940691
42430030,40.7206316,-73.9949663
42430034,40.7208958,-73.9957503
42430038,40.7211736,-73.9965747
42430041,40.7214509,-73.9973979
42430044,40.7215815,-73.9977854
42430050,40.7744096,-73.965617
42430052,40.7737351,-73.9640105
42430056,40.7730162,-73.962294
42430060,40.7723778,-73.9607795
42430063,40.7717042,-73.9591761
42430068,40.7707623,-73.9569342
42430075,40.7697674,-73.9545659
42430102,40.7255633,-74.0045513
42430108,40.724267,-74.004739
42430115,40.7182987,-74.0053609
