,,osmid,name,highway,maxspeed,oneway,length,geometry,hour_of_day,speed_kph_mean,speed_kph_stddev,est_width
29784655,12614653,4789051,Straßmannstraße,residential,30,False,216.77499999999998,"LINESTRING (13.4535749 52.5231248, 13.453444 52.5230917, 13.4533994 52.5230804, 13.4508623 52.522439, 13.4507777 52.5224177, 13.4506169 52.5223756)",9,15.575,8.294,
29784655,29784665,8084132,Ebertystraße,tertiary,50,False,114.83500000000001,"LINESTRING (13.4535749 52.5231248, 13.4536338 52.5230385, 13.4536574 52.523004, 13.4542261 52.5221711)",7,34.647,9.63,
29784655,29784653,8084132,Ebertystraße,tertiary,50,False,122.41399999999999,"LINESTRING (13.4535749 52.5231248, 13.4535125 52.5232161, 13.4534743 52.5232719, 13.4528797 52.5241412)",9,39.674,16.556,
29271706,12614653,182614432,Straßmannstraße,residential,50,False,27.528,"LINESTRING (13.450242 52.5222794, 13.4504015 52.5223205, 13.4504476 52.5223324, 13.4506169 52.5223756)",8,26.626,10.74,
12614667,444894685,310172802,Frankfurter Allee,primary,50,True,68.947,"LINESTRING (13.4633349 52.5147774, 13.4640326 52.5147048, 13.4641464 52.514693, 13.4643394 52.5146736)",9,32.258,17.912,
444894685,1410036220,240829637,Samariterstraße,residential,50,False,17.15,"LINESTRING (13.4643394 52.5146736, 13.464386 52.5148252)",8,21.233,10.43,
12614682,506039617,4689194,Alt-Friedrichsfelde,secondary_link,50,True,139.516,"LINESTRING (13.5175412 52.5096136, 13.5179682 52.5094804, 13.5181029 52.5094375, 13.5183501 52.509333, 13.5184272 52.5092935, 13.518526 52.5092246, 13.51865 52.5091147, 13.5187383 52.5090204, 13.5187597 52.5089845, 13.5188203 52.508883, 13.5188902 52.5087432)",7,18.136,12.67,
12614682,516394458,46099492,Alt-Friedrichsfelde,secondary,50,True,84.59100000000001,"LINESTRING (13.5175412 52.5096136, 13.5183144 52.5095632, 13.5184004 52.5095546, 13.5184942 52.5095497, 13.5187836 52.5095311)",8,15.9,17.531,
516394458,506039617,137866492,Am Tierpark,secondary,50,True,87.94800000000001,"LINESTRING (13.5187836 52.5095311, 13.518791 52.509353, 13.5188902 52.5087432)",8,51.832,7.322,
12614683,598234402,6278772,Frankfurter Allee,primary,50,True,15.591000000000001,"LINESTRING (13.4768541 52.5134272, 13.4769225 52.5134201, 13.4769687 52.5134153, 13.4770812 52.5134036)",7,42.882,11.344,
598234402,288267826,37633350,Möllendorffstraße,secondary,50,True,16.847,"LINESTRING (13.4770812 52.5134036, 13.4772581 52.5135102)",9,36.033,6.547,
12615161,1093519531,30134297,Prenzlauer Promenade,primary,50,True,34.983,"LINESTRING (13.4304841 52.5517188, 13.4304257 52.5520314)",9,42.825,5.326,
12615161,288101517,23008625,Gustav-Adolf-Straße,tertiary,50,True,33.988,"LINESTRING (13.4304841 52.5517188, 13.430588 52.5517636, 13.4306373 52.5517845, 13.4307394 52.5518299, 13.4308789 52.5519072)",7,25.304,4.908,
288101517,29420496,26299662,Gustav-Adolf-Straße,tertiary,50,False,52.629,"LINESTRING (13.4308789 52.5519072, 13.4309435 52.5519359, 13.4310865 52.5520044, 13.4315031 52.5521899)",9,32.866,7.573,
12615171,29420114,40191757,Am Steinberg,secondary,50,True,20.736,"LINESTRING (13.4292351 52.5565169, 13.4290947 52.5563511)",8,25.002,8.098,
29420114,101212646,11381171,Am Steinberg,secondary,50,True,12.754999999999999,"LINESTRING (13.4290947 52.5563511, 13.4291978 52.5563693, 13.4292435 52.5563774, 13.4292748 52.556385)",7,27.623,6.045,
12615173,16541701,4068093,Wisbyer Straße,primary,50,True,19.457,"LINESTRING (13.4299934 52.5510442, 13.4300719 52.5510151, 13.4300832 52.5510109, 13.4301178 52.550998, 13.4301313 52.550993, 13.430239 52.550953)",7,32.7,13.59,
12615173,29419201,4485729,Prenzlauer Allee,primary,50,True,54.372,"LINESTRING (13.4299934 52.5510442, 13.429926 52.5509045, 13.4297781 52.5505731)",8,36.365,9.662,
16541701,16541702,4068202,"['Prenzlauer Promenade', 'Prenzlauer Allee']",primary,50,True,35.153999999999996,"LINESTRING (13.430239 52.550953, 13.4302865 52.5510572, 13.4303041 52.5510957, 13.4303388 52.5511717, 13.4303777 52.5512577)",7,32.4,12.016,
16541701,652987765,8149748,Ostseestraße,primary,50,True,138.546,"LINESTRING (13.430239 52.550953, 13.4303163 52.5509234, 13.43037 52.5509028, 13.4319706 52.5502868)",7,45.806,8.091,
29419201,765313397,4485729,Prenzlauer Allee,primary,50,True,29.561,"LINESTRING (13.4297781 52.5505731, 13.4296959 52.5503989, 13.4296573 52.5503176)",8,45.07,7.906,
12615195,26970118,4776200,,trunk_link,,True,215.15800000000002,"LINESTRING (13.4286107 52.5830418, 13.4287619 52.583019, 13.4288767 52.5830197, 13.429122 52.5830234, 13.4294653 52.583013, 13.4296115 52.5829749, 13.4298015 52.5829114, 13.4299535 52.5828405, 13.4300624 52.5827505, 13.4301364 52.5826471, 13.4301691 52.5825176, 13.4301736 52.5823508, 13.430091 52.5821768, 13.4298767 52.5818365)",8,39.434,7.998,
16541457,1114040971,181088809,Reichsstraße,secondary,50,True,118.108,"LINESTRING (13.2606308 52.5162188, 13.2609318 52.5160338, 13.2618995 52.5154896)",8,37.295,10.398,
16541461,27559833,4752670,Olympische Straße,secondary,50,True,53.62,"LINESTRING (13.250268 52.5156244, 13.2498744 52.5156278, 13.2496681 52.5156354, 13.2495535 52.5156533, 13.249482 52.5156644)",8,30.785,7.777,
27559833,27560124,25935115,Olympischer Platz,secondary,50,False,36.552,"LINESTRING (13.249482 52.5156644, 13.2494852 52.5155558, 13.2494541 52.515463, 13.2493683 52.515349)",8,34.975,7.963,
16541464,26943821,4581764,Trakehner Allee,secondary,50,False,13.93,"LINESTRING (13.2404682 52.5119743, 13.2402994 52.5119026)",8,25.123,11.143,
16541465,26943835,422147710,Flatowallee,secondary,50,True,23.655,"LINESTRING (13.2422722 52.5075329, 13.2421742 52.5077371)",8,29.842,9.83,
16541465,26943818,340966775,Heerstraße,primary,50,False,16.330000000000002,"LINESTRING (13.2422722 52.5075329, 13.2421603 52.5075268, 13.2420319 52.5075197)",9,44.425,11.145,
26943835,5257308494,4474844,Flatowallee,secondary,50,True,58.262,"LINESTRING (13.2421742 52.5077371, 13.242143 52.5078122, 13.24197 52.5082461)",8,38.291,7.875,
26943818,26943851,340966775,Heerstraße,primary,50,False,691.043,"LINESTRING (13.2420319 52.5075197, 13.2417949 52.5075067, 13.2417362 52.5075034, 13.2416835 52.5075005, 13.2414086 52.5074854, 13.2357943 52.507129, 13.2353485 52.5070983, 13.2352866 52.507094, 13.235232 52.5070905, 13.2347277 52.507058, 13.2321262 52.5069082, 13.2318736 52.5068936)",8,50.116,5.262,
26943818,16541465,340966775,Heerstraße,primary,50,False,16.330000000000002,"LINESTRING (13.2420319 52.5075197, 13.2421603 52.5075268, 13.2422722 52.5075329)",8,41.547,11.984,
16541466,16541459,72175275,Olympische Straße,secondary,50,False,151.83100000000002,"LINESTRING (13.2571384 52.5163368, 13.2566661 52.5163142, 13.2562568 52.5162767, 13.2558902 52.5162332, 13.2555629 52.5161912, 13.2551934 52.5161324, 13.2549406 52.5160816)",9,38.683,8.195,
16541468,79808381,25204783,Theodor-Heuss-Platz,primary,50,True,2.641,"LINESTRING (13.2715418 52.5097265, 13.2715298 52.5097039)",8,30.067,7.432,
79808381,26904543,30808673,Theodor-Heuss-Platz,primary,50,True,17.878,"LINESTRING (13.2715298 52.5097039, 13.2714481 52.509551)",7,33.452,6.689,
