,y,x,street_count,ref,highway
4545916937,52.4318138,13.3537049,3,,
26570024,52.4334145,13.353008,5,,
3949861833,52.4332972,13.3529917,4,,
26570025,52.4333896,13.3521824,3,,
30738572,52.4358824,13.3520172,4,,
26570026,52.4342154,13.3501282,4,,
30738636,52.4349741,13.3484327,3,,
26570074,52.4230297,13.3575614,3,,
33775684,52.4234635,13.3573522,3,,
26570172,52.4341172,13.2011133,3,,
286841577,52.4341179,13.200992,4,,
26582888,52.4091234,13.3761185,4,,
30006603,52.4084904,13.3766882,3,,
26583752,52.4355822,13.347099,3,,traffic_signals
271188413,52.4356762,13.3469343,3,,
30739784,52.4346165,13.346108,3,,
26583753,52.4362038,13.3457572,4,,
271188391,52.4362719,13.3458665,4,,
26583755,52.4362787,13.3456425,4,,
1941979001,52.4359339,13.3451717,3,,
26583758,52.4469475,13.3424161,5,,
26583759,52.4477381,13.3435456,3,,
30739907,52.4454733,13.3403716,3,,
26583760,52.4488467,13.3451176,4,,
29046465,52.4496845,13.3462907,3,,
26583761,52.4500169,13.3466413,4,,
27433426,52.4499862,13.3468707,4,,
26583762,52.4504718,13.3428305,3,,
602941959,52.4504594,13.3429474,3,,
26583763,52.4507587,13.3404256,3,,
386947560,52.4506538,13.3412831,3,,
